Num_expediente,Tipo_accidente
2015S005818,Choque contra elemento estático
2015S006447,Colisión fronto-lateral
2015S008001,Choque contra elemento estático
2015S004424,Alcance
2015S005976,Colisión lateral
2015S006017,Alcance
2015S003288,Atropello
2015S007897,Caída (dos ruedas)
2015S009156,Atropello
2015S000777,Colisión lateral
2015S003377,Alcance
2015S001170,Choque contra elemento estático
2015S004238,Otros
2015S005147,Colisión lateral
2015S004778,Choque contra elemento estático
2015S006797,Caída (dos ruedas)
2015S006370,Caída interior vehículo
2015S009470,Choque contra elemento estático
2015S005312,Caída interior vehículo
2015S002356,Atropello
2015S000009,Atropello
2015S005267,Atropello
2015S001892,Colisión lateral
2015S005202,Caída interior vehículo
2015S007345,Colisión fronto-lateral
2015S007609,Alcance multiple
2015S004343,Atropello
2015S005678,Alcance
2015S004934,Alcance
2015S000370,Choque contra elemento estático
2015S005015,Colisión fronto-lateral
2015S007661,Caída interior vehículo
2015S001869,Alcance
2015S009661,Colisión fronto-lateral
2015S006697,Alcance
2015S005357,Vuelco (más de dos ruedas)
2015S004258,Caída (dos ruedas)
2015S000243,Atropello
2015S007060,Colisión fronto-lateral
2015S005598,Atropello
2015S008331,Colisión lateral
2015S003612,Colisión lateral
2015S008019,Colisión fronto-lateral
2015S000040,Otros
2015S006270,Colisión fronto-lateral
2015S003694,Caída (dos ruedas)
2015S005667,Caída (dos ruedas)
2015S000058,Alcance
2015S001379,Colisión fronto-lateral
2015S009230,Colisión lateral
2015S004767,Colisión frontal
2015S002504,Atropello
2015S009952,Colisión fronto-lateral
2015S006098,Choque contra elemento estático
2015S005668,Colisión fronto-lateral
2015S006143,Atropello
2015S009815,Colisión lateral
2015S004983,Atropello
2015S001624,Colisión frontal
2015S001017,Alcance
2015S008222,Atropello
2015S004957,Atropello
2015S007595,Choque contra elemento estático
2015S002045,Colisión lateral
2015S002418,Alcance multiple
2015S007497,Alcance
2015S006169,Atropello
2015S000079,Colisión lateral
2015S008043,Colisión lateral
2015S002238,Caída (dos ruedas)
2015S004904,Colisión lateral
2015S000460,Caída (dos ruedas)
2015S007928,Colisión lateral
2015S004874,Colisión lateral
2015S003432,Alcance
2015S004503,Colisión fronto-lateral
2015S004613,Alcance
2015S003740,Colisión lateral
2015S003600,Colisión fronto-lateral
2015S009892,Alcance
2015S009053,Colisión fronto-lateral
2015S006850,Choque contra elemento estático
2015S008639,Caída (dos ruedas)
2015S008496,Colisión lateral
2015S000702,Alcance
2015S001610,Colisión lateral
2015S001242,Colisión lateral
2015S009886,Colisión fronto-lateral
2015S007055,Colisión fronto-lateral
