Num_expediente,Tipo_vehiculo,Modelo,Marca,Color,Tipo_carnet,Antiguedad_carnet
2015S002204,Motocicleta,125,SUZUKI,Negro,B,16
2015S007188,Turismo,Desconocido,Desconocido,Blanco,Desconocido,Desconocido
2015S007415,Turismo,320,BMW,Gris,B,47
2015S003751,Autobús,CITYCLASS,IRISBUS,Rojo,D,0
2015S001325,Taxi,Altea,SEAT,Amarillo,BTP,8
2015S005437,Ciclomotor,PEOPLE 50,KYMCO,Negro,AM,1
2015S005207,Turismo,C5,CITROEN,granate,B,0
2015S003675,Turismo,ZAFIRA,OPEL,Gris,B,48
2015S006295,"Camión <= 3,5 Tm",Desconocido,IVECO FIAT,Otros,C,12
2015S002116,Motocicleta,YBR 125,YAMAHA,Gris,A,5
2015S002141,Turismo,GT,ALFA ROMEO,Rojo,B,1
2015S007218,Motocicleta,LIBERTY 125,PIAGGIO,Otros,Desconocido,Desconocido
2015S009394,Turismo,IBIZA,SEAT,Desconocido,B,15
2015S009951,Motocicleta,X ENTER,YAMAHA,Negro,B,12
2015S000355,Furgoneta,JUMPY,CITROEN,Azul,B,7
2015S007708,Furgoneta,BOXER,PEUGEOT,Blanco,B,Desconocido
2015S005639,Turismo,PASSAT,VOLKSWAGEN,Negro,B,20
2015S004591,Taxi,Altea,SEAT,Negro/Amarillo,BTP,12
2015S002133,Motocicleta,SH 125,HONDA,Negro,A1,5
2015S001713,Turismo,SEICENTO,FIAT,Blanco,B,6
2015S007793,Turismo,IBIZA,SEAT,Negro,B,30
2015S002908,Motocicleta,CBF 125,HONDA,Negro,B,5
2015S006709,Bicicleta,Desconocido,Desconocido,Rojo,Desconocido,Desconocido
2015S005847,Turismo,PRIUS,TOYOTA,Desconocido,B,32
2015S007113,Ciclomotor,RS 2,RIEJU,Verde,B,1
2015S006864,Ciclomotor,NEO'S,YAMAHA,Gris,Desconocido,Desconocido
2015S005261,"Camión <= 3,5 Tm",35C,IVECO FIAT,Blanco,B,10
2015S002880,"Camión <= 3,5 Tm",TGL,MAN,Desconocido,C,11
2015S005249,Turismo,45,ROVER,Gris,B,27
2015S006840,"Camión > 3,5 Tm",Desconocido,DAF-HERMANNS,Otros,CE,9
2015S005719,Turismo,Altea,SEAT,Negro/Amarillo,BTP,7
2015S005828,Bicicleta,ROCKRIDER,DECATHLON,Rojo,Desconocido,Desconocido
2015S002057,Motocicleta,SH 125,HONDA,Negro,B,31
2015S006189,Bicicleta,Lobular,ORBEA,Dorado,Desconocido,Desconocido
2015S006189,Taxi,407,PEUGEOT,Negro/Amarillo,BTP,6
2015S003235,"Camión <= 3,5 Tm",35C,IVECO FIAT,Blanco,C1,10
2015S003416,Taxi,LINEA,FIAT,Negro/Amarillo,BTP,2
2015S006260,Taxi,Altea,SEAT,Negro/Amarillo,BTP,2
2015S002967,Bicicleta,Desconocido,GIANTCO,Gris,Desconocido,Desconocido
2015S003680,Taxi,ZAFIRA,OPEL,Otros,BTP,7
2015S004794,Furgoneta,C15,CITROEN,Blanco,Desconocido,Desconocido
2015S004194,Motocicleta,690,KTM,Blanco,A,18
2015S003618,Bicicleta,Desconocido,Desconocido,Azul,Desconocido,Desconocido
2015S003542,Turismo,VECTRA,OPEL,Gris,B,21
2015S002522,Motocicleta,SUM 125,PEUGEOT,Negro,B,12
2015S002778,Bicicleta,Desconocido,Desconocido,Amarillo,Desconocido,Desconocido
2015S007404,Taxi,TOLEDO,SEAT,Negro/Amarillo,BTP,4
2015S002430,Furgoneta,35C,IVECO FIAT,Desconocido,B,10
2015S004039,Turismo,GOLF,VOLKSWAGEN,Azul,B,3
2015S007949,Ciclomotor,LIBERTY 50,PIAGGIO,Gris,AM,13
2015S003476,Bicicleta,Desconocido,Desconocido,Naranja,Desconocido,Desconocido
2015S002691,"Camión <= 3,5 Tm",515 CDI,MERCEDES-BENZ,Blanco,B,35
2015S006235,Turismo,SAXO,CITROEN,Rojo,B,2
2015S006235,Taxi,OCTAVIA,SKODA,Negro/Amarillo,BTP,5
2015S005968,Motocicleta,SH 300,HONDA,Gris,Desconocido,Desconocido
2015S005968,Taxi,OCTAVIA,SKODA,Amarillo,BTP,2
2015S001528,Taxi,OCTAVIA,SKODA,Otros,BTP,37
2015S002679,Taxi,OCTAVIA,SKODA,Negro/Amarillo,BTP,3
2015S009049,Taxi,RAPID,SKODA,Negro,BTP,2
2015S007751,Motocicleta,R 1200 C,BMW,Gris,Desconocido,Desconocido
2015S003772,Turismo,A 180,MERCEDES-BENZ,Negro,Desconocido,Desconocido
2015S001947,Bicicleta,Desconocido,Desconocido,Rojo,Desconocido,Desconocido
2015S003484,Turismo,ZAFIRA,OPEL,Negro/Amarillo,BTP,0
2015S008618,Turismo,QASHQAI,NISSAN,Gris,B,30
2015S008139,Turismo,CARNIVAL,KIA,Gris,B,21
2015S002365,Motocicleta,SCOOPY 75,HONDA,Desconocido,Desconocido,Desconocido
2015S001450,Motocicleta,CBF 500,HONDA,Gris,B,2
2015S006885,Ciclomotor,VESPA,PIAGGIO,Amarillo,AM,11
2015S001268,"Camión <= 3,5 Tm",35C,IVECO FIAT,Blanco,B,20
2015S007930,Furgoneta,KANGOO,RENAULT,Blanco,B,26
2015S004514,Bicicleta,Desconocido,Desconocido,Rojo,Desconocido,Desconocido
2015S007978,Turismo,308,PEUGEOT,Negro,B,6
2015S007978,Motocicleta,ER,KAWASAKI,Negro,A,2
2015S009005,Bicicleta,Desconocido,Desconocido,Rojo,Desconocido,Desconocido
2015S002549,Turismo,IS,LEXUS,Gris,B,36
2015S003099,Motocicleta,CB 600,HONDA,Negro,A,23
2015S003187,Turismo,MINI COOPER,MINI,Negro,B,6
2015S002452,"Camión > 3,5 Tm",Desconocido,DAF-HERMANNS,Blanco,C,12
2015S004981,Turismo,FORTWO,SMART,Blanco,B,28
2015S005943,Turismo,528,BMW,Azul,B,3
2015S001377,Motocicleta,SH 125,HONDA,Blanco,B,25
2015S003215,Ciclomotor,ZIP AIRE,PIAGGIO,Gris,B,3
2015S002127,Turismo,ALMERA,NISSAN,Azul,B,33
2015S007617,Taxi,OCTAVIA,SKODA,Negro,Desconocido,Desconocido
2015S006841,Turismo,Desconocido,Desconocido,Negro,Desconocido,Desconocido
2015S009989,Turismo,TRAJET,HYUNDAI,Gris,B,12
2015S003067,Motocicleta,NXC 125,YAMAHA,Negro,B,23
2015S000508,Taxi,PRIUS,TOYOTA,Desconocido,BTP,7
2015S005433,Autobús,Desconocido,MAN,Rojo,D,9
2015S006883,Taxi,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
2015S006100,Turismo,330,BMW,Azul,B,5
2015S001038,Turismo,ONE,MINI,Azul,B,7
2015S001038,"Camión <= 3,5 Tm",CABSTAR,NISSAN,Blanco,B,14
2015S001067,Motocicleta,BURGMAN,SUZUKI,Blanco,B,11
2015S005955,Motocicleta,PK125,VESPA,Rojo,B,30
2015S001581,Turismo,C3,CITROEN,Negro,B,11
2015S009225,Motocicleta,LIBERTY 125,PIAGGIO,Gris,B,53
2015S009389,Autobús,NG 273,MAN,Rojo,D,21
